#eta,etabin,lut,func
7,1,448,447.906
28,6,34,35.5171
-21,5,91,92.0539
-6,1,70,71.708
-19,4,35,35.3637
-23,5,454,453.858
-8,1,30,30.732
19,4,87,89.4492
12,2,54,55.0283
-3,0,1221,1178.78
-7,1,908,870.866
-12,2,216,217.457
-15,3,56,57.6523
-10,2,14,14.2666
19,4,87,89.4492
12,2,54,55.0283
-10,2,14,14.2666
-3,0,1221,1178.78
-7,1,908,870.866
-15,3,56,57.6523
-12,2,216,217.457
29,7,75,76.9284
12,2,68,69.2949
8,1,52,53.2688
19,4,45,45.7647
3,0,37,37.4594
-5,1,872,838.646
-11,2,706,689.962
-14,3,142,142.553
-29,7,114,115.393
29,7,75,76.9284
3,0,37,37.4594
19,4,45,45.7647
8,1,52,53.2688
12,2,68,69.2949
-5,1,872,838.646
-29,7,114,115.393
-14,3,142,142.553
-11,2,706,689.962
16,3,170,170.812
24,5,70,71.6184
3,0,41,41.6215
17,4,11,10.4011
-14,3,197,198.217
-31,7,78,79.7776
-9,2,58,59.1045
-5,1,18,18.4392
17,4,11,10.4011
3,0,41,41.6215
16,3,170,170.812
24,5,70,71.6184
-5,1,18,18.4392
-9,2,58,59.1045
-14,3,197,198.217
-31,7,78,79.7776
3,0,47,47.8648
-20,4,19,18.7219
3,0,47,47.8648
-20,4,19,18.7219
24,5,46,47.0635
24,5,46,47.0635
-17,4,232,232.377
-25,6,203,203.484
-17,4,232,232.377
-25,6,203,203.484
2,0,15,14.5675
-28,6,80,81.6893
2,0,15,14.5675
-28,6,80,81.6893
5,1,795,769.178
4,0,25,24.9729
-18,4,555,555.672
-6,1,136,137.369
-5,1,42,43.0248
-17,4,41,41.6043
-10,2,26,26.4951
-5,1,22,22.5368
5,1,795,769.178
4,0,25,24.9729
-5,1,22,22.5368
-5,1,42,43.0248
-17,4,41,41.6043
-6,1,136,137.369
-10,2,26,26.4951
-18,4,555,555.672
-28,6,6,7.10342
11,2,105,106.362
-9,2,26,26.4951
11,2,105,106.362
-9,2,26,26.4951
13,3,113,113.89
11,2,32,32.6094
-4,0,71,72.8377
13,3,113,113.89
11,2,32,32.6094
-4,0,71,72.8377
29,7,25,27.0674
-35,8,63,64.4638
-14,3,16,16.4721
29,7,25,27.0674
-14,3,16,16.4721
-35,8,63,64.4638
19,4,11,10.4011
